Scenario,Year,GDP
SSP1 - 1.9,2005,5.74079E+13
SSP1 - 1.9,2010,6.84619E+13
SSP1 - 1.9,2020,1.01815E+14
SSP1 - 1.9,2030,1.55855E+14
SSP1 - 1.9,2040,2.23196E+14
SSP1 - 1.9,2050,2.91301E+14
SSP1 - 1.9,2060,3.56291E+14
SSP1 - 1.9,2070,4.19291E+14
SSP1 - 1.9,2080,4.75419E+14
SSP1 - 1.9,2090,5.24876E+14
SSP1 - 1.9,2100,5.6539E+14
SSP1 - 2.6,2005,5.74079E+13
SSP1 - 2.6,2010,6.84619E+13
SSP1 - 2.6,2020,1.01815E+14
SSP1 - 2.6,2030,1.55855E+14
SSP1 - 2.6,2040,2.23196E+14
SSP1 - 2.6,2050,2.91301E+14
SSP1 - 2.6,2060,3.56291E+14
SSP1 - 2.6,2070,4.19291E+14
SSP1 - 2.6,2080,4.75419E+14
SSP1 - 2.6,2090,5.24876E+14
SSP1 - 2.6,2100,5.6539E+14
SSP1 - 3.4,2005,5.74079E+13
SSP1 - 3.4,2010,6.84619E+13
SSP1 - 3.4,2020,1.01815E+14
SSP1 - 3.4,2030,1.55855E+14
SSP1 - 3.4,2040,2.23196E+14
SSP1 - 3.4,2050,2.91301E+14
SSP1 - 3.4,2060,3.56291E+14
SSP1 - 3.4,2070,4.19291E+14
SSP1 - 3.4,2080,4.75419E+14
SSP1 - 3.4,2090,5.24876E+14
SSP1 - 3.4,2100,5.6539E+14
SSP1 - 4.5,2005,5.74079E+13
SSP1 - 4.5,2010,6.84619E+13
SSP1 - 4.5,2020,1.01815E+14
SSP1 - 4.5,2030,1.55855E+14
SSP1 - 4.5,2040,2.23196E+14
SSP1 - 4.5,2050,2.91301E+14
SSP1 - 4.5,2060,3.56291E+14
SSP1 - 4.5,2070,4.19291E+14
SSP1 - 4.5,2080,4.75419E+14
SSP1 - 4.5,2090,5.24876E+14
SSP1 - 4.5,2100,5.6539E+14
SSP1 - Baseline,2005,5.74079E+13
SSP1 - Baseline,2010,6.84619E+13
SSP1 - Baseline,2020,1.01815E+14
SSP1 - Baseline,2030,1.55855E+14
SSP1 - Baseline,2040,2.23196E+14
SSP1 - Baseline,2050,2.91301E+14
SSP1 - Baseline,2060,3.56291E+14
SSP1 - Baseline,2070,4.19291E+14
SSP1 - Baseline,2080,4.75419E+14
SSP1 - Baseline,2090,5.24876E+14
SSP1 - Baseline,2100,5.6539E+14
SSP2 - 1.9,2005,5.65328E+13
SSP2 - 1.9,2010,6.75057E+13
SSP2 - 1.9,2020,1.00897E+14
SSP2 - 1.9,2030,1.41177E+14
SSP2 - 1.9,2040,1.80978E+14
SSP2 - 1.9,2050,2.2326E+14
SSP2 - 1.9,2060,2.68958E+14
SSP2 - 1.9,2070,3.21282E+14
SSP2 - 1.9,2080,3.78016E+14
SSP2 - 1.9,2090,4.38379E+14
SSP2 - 1.9,2100,5.04585E+14
SSP2 - 2.6,2005,5.65328E+13
SSP2 - 2.6,2010,6.75179E+13
SSP2 - 2.6,2020,1.01082E+14
SSP2 - 2.6,2030,1.42463E+14
SSP2 - 2.6,2040,1.84464E+14
SSP2 - 2.6,2050,2.28518E+14
SSP2 - 2.6,2060,2.76536E+14
SSP2 - 2.6,2070,3.30872E+14
SSP2 - 2.6,2080,3.90058E+14
SSP2 - 2.6,2090,4.54381E+14
SSP2 - 2.6,2100,5.24725E+14
SSP2 - 3.4,2005,5.65328E+13
SSP2 - 3.4,2010,6.75236E+13
SSP2 - 3.4,2020,1.01159E+14
SSP2 - 3.4,2030,1.42892E+14
SSP2 - 3.4,2040,1.85389E+14
SSP2 - 3.4,2050,2.30187E+14
SSP2 - 3.4,2060,2.78617E+14
SSP2 - 3.4,2070,3.34186E+14
SSP2 - 3.4,2080,3.94478E+14
SSP2 - 3.4,2090,4.59901E+14
SSP2 - 3.4,2100,5.31925E+14
SSP2 - 4.5,2005,5.65328E+13
SSP2 - 4.5,2010,6.75249E+13
SSP2 - 4.5,2020,1.01209E+14
SSP2 - 4.5,2030,1.43019E+14
SSP2 - 4.5,2040,1.85737E+14
SSP2 - 4.5,2050,2.30831E+14
SSP2 - 4.5,2060,2.79767E+14
SSP2 - 4.5,2070,3.357E+14
SSP2 - 4.5,2080,3.96478E+14
SSP2 - 4.5,2090,4.62593E+14
SSP2 - 4.5,2100,5.35256E+14
SSP2 - 6.0,2005,5.65328E+13
SSP2 - 6.0,2010,6.75276E+13
SSP2 - 6.0,2020,1.01233E+14
SSP2 - 6.0,2030,1.43043E+14
SSP2 - 6.0,2040,1.85887E+14
SSP2 - 6.0,2050,2.31208E+14
SSP2 - 6.0,2060,2.80339E+14
SSP2 - 6.0,2070,3.36647E+14
SSP2 - 6.0,2080,3.98043E+14
SSP2 - 6.0,2090,4.65176E+14
SSP2 - 6.0,2100,5.38405E+14
SSP2 - Baseline,2005,5.65328E+13
SSP2 - Baseline,2010,6.75288E+13
SSP2 - Baseline,2020,1.01245E+14
SSP2 - Baseline,2030,1.4307E+14
SSP2 - Baseline,2040,1.85955E+14
SSP2 - Baseline,2050,2.313E+14
SSP2 - Baseline,2060,2.80515E+14
SSP2 - Baseline,2070,3.36849E+14
SSP2 - Baseline,2080,3.98498E+14
SSP2 - Baseline,2090,4.65847E+14
SSP2 - Baseline,2100,5.39332E+14
SSP3 - 3.4,2005,5.47281E+13
