,r2_train,r2_test,rmse_test,mae_test,overfit_gap,n_estimators_used
SSP1_Total Cost,0.9989795777552825,0.9978103452649723,49.40209212526183,36.51179540570036,0.0011692324903102014,1000.0
SSP1_Total Mitigation,0.9982538191188295,0.9958642834047461,7.7293722516635945,5.39542907455003,0.0023895357140834017,1000.0
SSP1_Total Removal,0.9981866626088262,0.9955696954252815,7.337523443702107,5.064415759233244,0.0026169671835446495,1000.0
SSP2_Total Cost,0.9984779848569664,0.996529911673132,43.8888009897322,28.03441647262424,0.0019480731838343868,1000.0
SSP2_Total Mitigation,0.9896314376998934,0.9740213519725978,27.811450647367728,13.253793573763533,0.015610085727295608,735.0
SSP2_Total Removal,0.9914921109646437,0.972494689097066,28.959283428508304,13.078228611761594,0.01899742186757769,1000.0
SSP3_Total Cost,0.9986219905437308,0.9972419855250209,27.30056898645877,19.515645857503074,0.00138000501870994,1000.0
SSP3_Total Mitigation,0.9961866924898464,0.9929957437068759,15.937280300045597,10.353700250364433,0.0031909487829704375,918.0
SSP3_Total Removal,0.9959969889637545,0.9921339786796826,16.103147043572207,10.487246539061161,0.003863010284071988,864.0
SSP4_Total Cost,0.9989786992566801,0.997575610386954,33.79062503428817,23.56524304155353,0.0014030888697261767,1000.0
SSP4_Total Mitigation,0.9976887427116776,0.9917597158806664,13.440724283612075,7.948394833483578,0.005929026831011264,1000.0
SSP4_Total Removal,0.9976018854545818,0.9918674522938913,13.029219094627317,7.897324986844096,0.005734433160690555,1000.0
SSP5_Total Cost,0.9941184247622626,0.9852989840696925,142.1472260846711,75.11824011327835,0.008819440692570124,1000.0
SSP5_Total Mitigation,0.9438012120331808,0.8546185797359462,122.78327274099644,57.33657733970946,0.08918263229723455,1000.0
SSP5_Total Removal,0.9385580074722106,0.8452887677795787,124.38744733404424,58.11494049372796,0.0932692396926319,1000.0
