derived_labels,index,lower,upper
costmitigunit,0.09035644242615502,0.08916318733881658,0.0914795517600668
costmitigunit_costremovunit,0.0018903722906715582,0.0016909004028805893,0.002119013508641926
costmitigunit_costremovunit_discrate,0.0008464034076725641,0.000684703865504371,0.0010432144313269032
costmitigunit_discrate,0.04138476744725135,0.040133832360136824,0.04250336627652282
costremovunit,0.007783007294187842,0.007418370498735494,0.008205300005146679
costremovunit_discrate,0.0032895454400370724,0.0029496781460435005,0.003671241135727437
discrate,0.783799223945703,0.7815956082578781,0.7861936733772364
econdampct,0.01611380212224023,0.015648380278377765,0.016521957731496083
econdampct_discrate,0.003621586504724627,0.003376300968538261,0.0038969954879098665
tcre,0.0340531862410629,0.03331016628373374,0.0347746059596883
tcre_costmitigunit,0.0026681740074089924,0.0024265532597165795,0.0028837223789257844
tcre_costmitigunit_discrate,0.0012629763817552288,0.0010556367803869445,0.0014688059684286818
tcre_costremovunit,0.00020270954245877595,0.0001396344715773832,0.0002827207995973152
tcre_costremovunit_discrate,4.3962210151468564e-05,1.6439989751681867e-05,9.209162643124001e-05
tcre_discrate,0.012336570647773614,0.011599013219438433,0.013018342354400232
