ssp,timestamp,output_type,variable,count,missing,mean,median,std,min,q1_p25,q2_p50_median,q3_p75,max,range,iqr,cv,skewness,kurtosis,p5,p10,p90,p95,variance,mad,sem,mode
SSP1,20251030_134512,totalcost,Total Cost,19729,0,1504.449,1240.3029,1065.2094,81.9666,711.7294,1240.3029,2028.4006,6204.9075,6122.9409,1316.6712,0.708,1.178,1.1423,268.2403,385.4221,3061.6628,3701.8339,1134671.1086,614.5721,7.5837,81.9666
SSP1,20251030_134512,totalmitigation,Total Mitigation,19729,0,502.4817,508.1484,118.1477,150.396,420.8855,508.1484,586.0259,869.485,719.0889,165.1404,0.2351,-0.1331,-0.3693,299.5709,338.8559,651.4132,691.8522,13958.8691,81.8792,0.8411,150.396
SSP1,20251030_134512,totalremoval,Total Removal,19729,0,327.2992,325.1885,109.9948,70.7365,243.7014,325.1885,408.8173,658.5714,587.8349,165.1159,0.3361,0.1057,-0.6934,151.3251,180.7916,475.8798,509.832,12098.8515,82.6852,0.7831,70.7365
SSP2,20251030_233350,totalcost,Total Cost,19733,0,1148.7101,981.7409,738.1113,78.434,604.9541,981.7409,1517.5272,4858.9353,4780.5013,912.5731,0.6426,1.14,1.2078,258.2546,356.7611,2211.4346,2646.3995,544808.3037,432.9865,5.2544,78.434
SSP2,20251030_233350,totalmitigation,Total Mitigation,19733,0,1091.9239,1086.6973,170.3375,532.0197,974.81,1086.6973,1202.6502,1916.529,1384.5094,227.8403,0.156,0.2105,0.2167,820.3702,878.4906,1315.0334,1377.5313,29014.8742,113.9002,1.2126,532.0197
SSP2,20251030_233350,totalremoval,Total Removal,19733,0,740.966,741.8417,174.7951,144.7734,612.352,741.8417,868.7872,1286.4401,1141.6667,256.4352,0.2359,-0.006,-0.5078,455.7661,507.4186,970.1041,1025.7177,30553.3369,127.9851,1.2443,144.7734
SSP3,20251031_045317,totalcost,Total Cost,19733,0,893.9893,806.3915,515.636,67.1004,507.616,806.3915,1177.5241,3349.5902,3282.4898,669.9081,0.5768,0.8942,0.5923,219.6618,302.3731,1626.429,1906.8798,265880.5061,328.2977,3.6707,67.1004
SSP3,20251031_045317,totalmitigation,Total Mitigation,19733,0,1249.12,1252.3698,188.0055,626.9898,1119.3432,1252.3698,1382.2925,1880.7006,1253.7108,262.9492,0.1505,-0.117,-0.3023,931.0611,999.7789,1491.4138,1550.5432,35346.081,131.1732,1.3384,626.9898
SSP3,20251031_045317,totalremoval,Total Removal,19733,0,783.7254,776.724,182.2739,292.0456,647.8044,776.724,914.1748,1394.0892,1102.0435,266.3704,0.2326,0.1649,-0.4969,494.5786,546.6666,1031.1758,1091.0246,33223.7627,133.1405,1.2976,292.0456
SSP4,20251031_094637,totalcost,Total Cost,19732,0,1075.7228,932.7246,688.5427,69.8136,561.4746,932.7246,1432.7375,4103.3377,4033.5241,871.2629,0.6401,1.0507,0.8884,228.8825,320.0333,2066.0417,2468.9666,474091.0211,418.9908,4.9017,69.8136
SSP4,20251031_094637,totalmitigation,Total Mitigation,19732,0,840.5918,840.8324,147.6916,351.7919,737.9483,840.8324,943.693,1323.9411,972.1492,205.7447,0.1757,-0.0335,-0.2488,593.7521,649.0034,1033.2988,1082.6786,21812.7982,102.8719,1.0514,351.7919
SSP4,20251031_094637,totalremoval,Total Removal,19732,0,541.0289,537.782,143.3257,171.605,433.8556,537.782,644.6342,1020.1674,848.5624,210.7787,0.2649,0.119,-0.5613,311.4209,351.6161,734.091,780.8659,20542.2429,105.387,1.0203,171.605
SSP5,20251029_091916,totalcost,Total Cost,19732,0,1744.2555,1436.2184,1147.2734,142.7283,936.6345,1436.2184,2261.5632,8657.325,8514.5967,1324.9288,0.6577,1.4536,2.6325,447.9001,598.9292,3351.9431,4042.6795,1316236.3442,603.5288,8.1674,142.7283
SSP5,20251029_091916,totalmitigation,Total Mitigation,19732,0,1904.0883,1862.5424,326.6076,575.4954,1705.3396,1862.5424,2030.3278,3415.8961,2840.4008,324.9883,0.1715,1.7752,5.122,1497.6492,1571.8754,2210.7935,2381.0758,106672.5007,162.1435,2.3251,575.4954
SSP5,20251029_091916,totalremoval,Total Removal,19732,0,1307.3395,1347.5577,318.3059,0.0,1164.6857,1347.5577,1509.2437,2801.5334,2801.5334,344.558,0.2435,-1.4099,3.4961,829.4883,982.9511,1647.9828,1723.4061,101318.6188,171.4132,2.266,0.0
